Order ID,Order Date,Order_Day_Name,Order_Month_Name,Order_Year,Customer Name,City,State,Region,Category,Sub Category,Sales,Discount,Profit
OD9923,2023-01-06,Friday,January,2023,Esther,Cumbum,Tamil Nadu,South,"Eggs, Meat & Fish",Fish,1258.0,0.14,364.82
OD1541,2023-01-07,Saturday,January,2023,Rumaiza,Theni,Tamil Nadu,Central,Bakery,Biscuits,1280.0,0.12,358.4
OD3555,2023-01-07,Saturday,January,2023,Hussain,Theni,Tamil Nadu,Central,"Eggs, Meat & Fish",Chicken,1936.0,0.1,96.8
OD593,2023-01-09,Monday,January,2023,Roshan,Salem,Tamil Nadu,Central,Food Grains,Dals & Pulses,2409.0,0.27,867.24
OD594,2023-01-09,Monday,January,2023,Sudha,Ooty,Tamil Nadu,Central,Oil & Masala,Spices,1432.0,0.15,300.72
OD866,2023-01-10,Tuesday,January,2023,Adavan,Kanyakumari,Tamil Nadu,South,"Eggs, Meat & Fish",Chicken,1066.0,0.27,191.88
OD867,2023-01-10,Tuesday,January,2023,Arutra,Theni,Tamil Nadu,South,"Eggs, Meat & Fish",Fish,1330.0,0.31,119.7
OD717,2023-01-11,Wednesday,January,2023,James,Tenkasi,Tamil Nadu,East,Fruits & Veggies,Fresh Fruits,2023.0,0.14,868.17
OD764,2023-01-13,Friday,January,2023,Amrish,Nagercoil,Tamil Nadu,South,Beverages,Health Drinks,1401.0,0.31,462.33
OD765,2023-01-13,Friday,January,2023,Adavan,Viluppuram,Tamil Nadu,South,"Eggs, Meat & Fish",Chicken,1949.0,0.18,760.11
OD766,2023-01-13,Friday,January,2023,Kumar,Vellore,Tamil Nadu,South,Beverages,Health Drinks,2239.0,0.1,985.16
OD767,2023-01-13,Friday,January,2023,Arutra,Nagercoil,Tamil Nadu,South,Snacks,Noodles,1903.0,0.11,666.05
OD768,2023-01-13,Friday,January,2023,Akash,Namakkal,Tamil Nadu,South,Food Grains,Atta & Flour,1367.0,0.13,136.7
OD1329,2023-01-13,Friday,January,2023,James,Kanyakumari,Tamil Nadu,South,Food Grains,Rice,1497.0,0.12,164.67
OD1900,2023-01-13,Friday,January,2023,Mathew,Cumbum,Tamil Nadu,West,Food Grains,Dals & Pulses,610.0,0.32,134.2
OD3953,2023-01-13,Friday,January,2023,Shree,Ooty,Tamil Nadu,East,Oil & Masala,Masalas,1767.0,0.33,406.41
OD3972,2023-01-13,Friday,January,2023,Sheeba,Theni,Tamil Nadu,East,Bakery,Cakes,1073.0,0.33,128.76
OD4503,2023-01-13,Friday,January,2023,Vidya,Theni,Tamil Nadu,West,Oil & Masala,Spices,1594.0,0.29,669.48
OD4535,2023-01-13,Friday,January,2023,Krithika,Krishnagiri,Tamil Nadu,West,Beverages,Health Drinks,1520.0,0.22,243.2
OD5685,2023-01-14,Saturday,January,2023,Sundar,Theni,Tamil Nadu,East,Food Grains,Rice,1715.0,0.24,771.75
OD4879,2023-01-15,Sunday,January,2023,Shree,Ooty,Tamil Nadu,South,Bakery,Biscuits,1883.0,0.1,301.28
OD971,2023-01-16,Monday,January,2023,Krithika,Ooty,Tamil Nadu,East,Food Grains,Rice,1398.0,0.12,139.8
OD972,2023-01-16,Monday,January,2023,Amrish,Vellore,Tamil Nadu,East,Beverages,Health Drinks,990.0,0.11,237.6
OD973,2023-01-16,Monday,January,2023,Vidya,Madurai,Tamil Nadu,East,Oil & Masala,Spices,2152.0,0.1,430.4
OD974,2023-01-16,Monday,January,2023,Rumaiza,Perambalur,Tamil Nadu,East,"Eggs, Meat & Fish",Mutton,1169.0,0.22,362.39
OD6873,2023-01-18,Wednesday,January,2023,Krithika,Chennai,Tamil Nadu,West,Food Grains,Organic Staples,1353.0,0.28,514.14
OD1147,2023-01-19,Thursday,January,2023,Yusuf,Bodi,Tamil Nadu,West,Snacks,Chocolates,1064.0,0.12,457.52
OD2386,2023-01-19,Thursday,January,2023,Veena,Pudukottai,Tamil Nadu,West,Fruits & Veggies,Organic Vegetables,513.0,0.22,61.56
OD2393,2023-01-19,Thursday,January,2023,Amy,Viluppuram,Tamil Nadu,West,Bakery,Breads & Buns,2205.0,0.26,815.85
OD2406,2023-01-19,Thursday,January,2023,Rumaiza,Ooty,Tamil Nadu,West,Beverages,Health Drinks,743.0,0.13,74.3
OD1437,2023-01-20,Friday,January,2023,Sheeba,Bodi,Tamil Nadu,Central,Bakery,Breads & Buns,1840.0,0.25,570.4
OD1438,2023-01-20,Friday,January,2023,Vidya,Dharmapuri,Tamil Nadu,Central,Fruits & Veggies,Fresh Vegetables,2294.0,0.24,940.54
OD1718,2023-01-20,Friday,January,2023,Suresh,Theni,Tamil Nadu,South,Beverages,Soft Drinks,603.0,0.28,168.84
OD1729,2023-01-20,Friday,January,2023,Kumar,Dharmapuri,Tamil Nadu,South,Oil & Masala,Spices,1813.0,0.19,416.99
OD1819,2023-01-20,Friday,January,2023,Esther,Tirunelveli,Tamil Nadu,West,"Eggs, Meat & Fish",Mutton,1100.0,0.3,242.0
OD3142,2023-01-20,Friday,January,2023,Ganesh,Vellore,Tamil Nadu,Central,Oil & Masala,Edible Oil & Ghee,1148.0,0.21,309.96
OD3172,2023-01-20,Friday,January,2023,Harish,Tenkasi,Tamil Nadu,Central,Fruits & Veggies,Organic Vegetables,1629.0,0.17,733.05
OD3180,2023-01-20,Friday,January,2023,Amrish,Nagercoil,Tamil Nadu,Central,Fruits & Veggies,Organic Fruits,1272.0,0.16,139.92
OD3231,2023-01-20,Friday,January,2023,Ridhesh,Vellore,Tamil Nadu,Central,Oil & Masala,Spices,2054.0,0.33,657.28
OD3232,2023-01-20,Friday,January,2023,Ridhesh,Ooty,Tamil Nadu,Central,Beverages,Soft Drinks,1785.0,0.29,624.75
OD3278,2023-01-20,Friday,January,2023,Shree,Tirunelveli,Tamil Nadu,Central,"Eggs, Meat & Fish",Mutton,2126.0,0.28,340.16
OD4050,2023-01-20,Friday,January,2023,Sabeela,Karur,Tamil Nadu,South,Bakery,Cakes,2350.0,0.15,799.0
OD4060,2023-01-20,Friday,January,2023,Harish,Kanyakumari,Tamil Nadu,South,Bakery,Cakes,767.0,0.24,84.37
OD4111,2023-01-20,Friday,January,2023,Vinne,Ooty,Tamil Nadu,South,Beverages,Soft Drinks,1768.0,0.13,353.6
OD4343,2023-01-20,Friday,January,2023,Yusuf,Krishnagiri,Tamil Nadu,West,"Eggs, Meat & Fish",Eggs,2325.0,0.18,813.75
OD5439,2023-01-20,Friday,January,2023,Hussain,Namakkal,Tamil Nadu,South,Beverages,Soft Drinks,1393.0,0.3,431.83
OD7559,2023-01-20,Friday,January,2023,Muneer,Cumbum,Tamil Nadu,South,Bakery,Biscuits,1973.0,0.32,789.2
OD1343,2023-01-21,Saturday,January,2023,Akash,Namakkal,Tamil Nadu,South,Food Grains,Dals & Pulses,2312.0,0.26,485.52
OD3191,2023-01-23,Monday,January,2023,Arvind,Chennai,Tamil Nadu,Central,"Eggs, Meat & Fish",Fish,2314.0,0.27,624.78
OD4553,2023-01-23,Monday,January,2023,Ram,Pudukottai,Tamil Nadu,West,Bakery,Biscuits,1604.0,0.14,529.32
OD5645,2023-01-26,Thursday,January,2023,Vince,Coimbatore,Tamil Nadu,Central,Food Grains,Dals & Pulses,1384.0,0.26,484.4
OD6238,2023-01-26,Thursday,January,2023,Vinne,Madurai,Tamil Nadu,Central,Beverages,Soft Drinks,666.0,0.29,133.2
OD8624,2023-01-26,Thursday,January,2023,Shree,Ooty,Tamil Nadu,South,Snacks,Noodles,1354.0,0.12,176.02
OD8625,2023-01-26,Thursday,January,2023,Krithika,Ooty,Tamil Nadu,South,Fruits & Veggies,Organic Fruits,2122.0,0.33,530.5
OD9404,2023-01-26,Thursday,January,2023,Haseena,Namakkal,Tamil Nadu,South,Snacks,Chocolates,2431.0,0.1,121.55
OD9414,2023-01-26,Thursday,January,2023,Vidya,Kanyakumari,Tamil Nadu,South,Fruits & Veggies,Fresh Fruits,1050.0,0.11,451.5
OD9431,2023-01-26,Thursday,January,2023,Anu,Theni,Tamil Nadu,South,Food Grains,Organic Staples,1991.0,0.33,696.85
OD9917,2023-01-26,Thursday,January,2023,Surya,Krishnagiri,Tamil Nadu,South,Oil & Masala,Masalas,1350.0,0.34,499.5
OD9926,2023-01-26,Thursday,January,2023,Sundar,Dharmapuri,Tamil Nadu,South,Oil & Masala,Spices,1916.0,0.21,383.2
OD1956,2023-01-27,Friday,January,2023,Willams,Perambalur,Tamil Nadu,West,Fruits & Veggies,Organic Fruits,1394.0,0.25,97.58
OD4294,2023-01-27,Friday,January,2023,Peer,Ooty,Tamil Nadu,West,Bakery,Biscuits,2370.0,0.13,971.7
OD4468,2023-01-27,Friday,January,2023,Arutra,Dharmapuri,Tamil Nadu,West,Beverages,Soft Drinks,540.0,0.34,156.6
OD3809,2023-01-28,Saturday,January,2023,Ganesh,Perambalur,Tamil Nadu,East,Snacks,Chocolates,636.0,0.34,216.24
OD3165,2023-01-30,Monday,January,2023,Peer,Nagercoil,Tamil Nadu,Central,Fruits & Veggies,Organic Vegetables,2262.0,0.1,791.7
OD3171,2023-01-30,Monday,January,2023,Arvind,Nagercoil,Tamil Nadu,Central,Fruits & Veggies,Fresh Vegetables,1906.0,0.33,457.44
OD1121,2023-01-31,Tuesday,January,2023,Sharon,Karur,Tamil Nadu,West,"Eggs, Meat & Fish",Mutton,1820.0,0.23,819.0
OD541,2023-02-01,Wednesday,February,2023,Alan,Trichy,Tamil Nadu,Central,Beverages,Soft Drinks,1338.0,0.27,374.64
OD4246,2023-02-02,Thursday,February,2023,Ridhesh,Vellore,Tamil Nadu,South,Fruits & Veggies,Organic Vegetables,525.0,0.27,52.5
OD5482,2023-02-02,Thursday,February,2023,Mathew,Chennai,Tamil Nadu,South,Snacks,Chocolates,612.0,0.16,153.0
OD9581,2023-02-02,Thursday,February,2023,Malik,Kanyakumari,Tamil Nadu,West,Oil & Masala,Spices,904.0,0.34,280.24
OD3091,2023-02-03,Friday,February,2023,Veronica,Coimbatore,Tamil Nadu,West,Oil & Masala,Masalas,1015.0,0.22,152.25
OD3100,2023-02-03,Friday,February,2023,Ravi,Madurai,Tamil Nadu,West,Oil & Masala,Masalas,1546.0,0.28,448.34
OD6853,2023-02-04,Saturday,February,2023,Shree,Nagercoil,Tamil Nadu,West,Bakery,Breads & Buns,512.0,0.27,220.16
OD9568,2023-02-04,Saturday,February,2023,Verma,Pudukottai,Tamil Nadu,West,Oil & Masala,Spices,1033.0,0.23,185.94
OD9642,2023-02-04,Saturday,February,2023,Sheeba,Viluppuram,Tamil Nadu,West,Food Grains,Organic Staples,1871.0,0.34,729.69
OD2695,2023-02-06,Monday,February,2023,Hafiz,Coimbatore,Tamil Nadu,Central,"Eggs, Meat & Fish",Mutton,1863.0,0.14,726.57
OD6376,2023-02-06,Monday,February,2023,Ridhesh,Vellore,Tamil Nadu,South,"Eggs, Meat & Fish",Chicken,2477.0,0.34,123.85
OD7910,2023-02-06,Monday,February,2023,Ramesh,Nagercoil,Tamil Nadu,South,Oil & Masala,Edible Oil & Ghee,1592.0,0.14,191.04
OD7916,2023-02-06,Monday,February,2023,Peer,Namakkal,Tamil Nadu,South,Fruits & Veggies,Organic Vegetables,1699.0,0.35,118.93
OD850,2023-02-07,Tuesday,February,2023,Veena,Bodi,Tamil Nadu,East,Fruits & Veggies,Fresh Vegetables,740.0,0.29,155.4
OD6666,2023-02-07,Tuesday,February,2023,Sheeba,Cumbum,Tamil Nadu,East,Snacks,Cookies,1724.0,0.32,310.32
OD8417,2023-02-08,Wednesday,February,2023,Veronica,Vellore,Tamil Nadu,West,Snacks,Chocolates,1624.0,0.3,276.08
OD1212,2023-02-11,Saturday,February,2023,Willams,Nagercoil,Tamil Nadu,Central,Food Grains,Rice,1209.0,0.14,60.45
OD1216,2023-02-11,Saturday,February,2023,Harish,Tenkasi,Tamil Nadu,Central,"Eggs, Meat & Fish",Fish,2333.0,0.22,839.88
OD1745,2023-02-11,Saturday,February,2023,Anu,Trichy,Tamil Nadu,South,Beverages,Soft Drinks,2010.0,0.15,402.0
OD2603,2023-02-11,Saturday,February,2023,Shree,Tirunelveli,Tamil Nadu,Central,Snacks,Noodles,1695.0,0.23,762.75
OD2610,2023-02-11,Saturday,February,2023,Amrish,Dharmapuri,Tamil Nadu,Central,"Eggs, Meat & Fish",Fish,1772.0,0.3,230.36
OD2614,2023-02-11,Saturday,February,2023,Sharon,Karur,Tamil Nadu,Central,Bakery,Breads & Buns,1151.0,0.3,368.32
OD2621,2023-02-11,Saturday,February,2023,Ram,Theni,Tamil Nadu,Central,Snacks,Chocolates,2261.0,0.33,610.47
OD4029,2023-02-11,Saturday,February,2023,Shree,Perambalur,Tamil Nadu,South,"Eggs, Meat & Fish",Chicken,1337.0,0.13,601.65
OD5410,2023-02-11,Saturday,February,2023,Alan,Karur,Tamil Nadu,South,Bakery,Breads & Buns,1774.0,0.17,319.32
OD457,2023-02-12,Sunday,February,2023,Ridhesh,Tirunelveli,Tamil Nadu,West,Food Grains,Dals & Pulses,2142.0,0.26,664.02
OD2670,2023-02-14,Tuesday,February,2023,Jackson,Dharmapuri,Tamil Nadu,Central,"Eggs, Meat & Fish",Fish,652.0,0.26,260.8
OD7603,2023-02-14,Tuesday,February,2023,Verma,Ooty,Tamil Nadu,West,Bakery,Biscuits,1392.0,0.12,431.52
OD7649,2023-02-14,Tuesday,February,2023,Arutra,Tenkasi,Tamil Nadu,West,Bakery,Biscuits,1809.0,0.32,253.26
OD8298,2023-02-14,Tuesday,February,2023,Arvind,Dharmapuri,Tamil Nadu,West,Bakery,Cakes,1275.0,0.3,522.75
OD7834,2023-02-15,Wednesday,February,2023,Arvind,Virudhunagar,Tamil Nadu,West,"Eggs, Meat & Fish",Eggs,1460.0,0.16,554.8
OD3468,2023-02-16,Thursday,February,2023,Verma,Theni,Tamil Nadu,Central,Fruits & Veggies,Fresh Fruits,2490.0,0.24,1120.5
OD3505,2023-02-16,Thursday,February,2023,Muneer,Namakkal,Tamil Nadu,Central,Fruits & Veggies,Organic Vegetables,2003.0,0.1,821.23
OD3455,2023-02-17,Friday,February,2023,Mathew,Coimbatore,Tamil Nadu,Central,Fruits & Veggies,Organic Fruits,1090.0,0.29,305.2
OD1167,2023-02-18,Saturday,February,2023,Jonas,Madurai,Tamil Nadu,Central,Food Grains,Rice,547.0,0.12,164.1
OD3335,2023-02-18,Saturday,February,2023,Sundar,Cumbum,Tamil Nadu,Central,Snacks,Cookies,527.0,0.21,126.48
OD5896,2023-02-20,Monday,February,2023,Vidya,Perambalur,Tamil Nadu,Central,Beverages,Health Drinks,602.0,0.18,108.36
OD8082,2023-02-20,Monday,February,2023,Ridhesh,Nagercoil,Tamil Nadu,Central,Fruits & Veggies,Organic Fruits,1808.0,0.34,470.08
OD9529,2023-02-20,Monday,February,2023,Kumar,Bodi,Tamil Nadu,West,Oil & Masala,Masalas,1319.0,0.15,342.94
OD3537,2023-02-21,Tuesday,February,2023,Shree,Trichy,Tamil Nadu,Central,Oil & Masala,Masalas,1896.0,0.19,815.28
OD2314,2023-02-22,Wednesday,February,2023,Harish,Perambalur,Tamil Nadu,West,"Eggs, Meat & Fish",Chicken,1618.0,0.16,258.88
OD9167,2023-02-23,Thursday,February,2023,Harish,Ramanadhapuram,Tamil Nadu,Central,Food Grains,Organic Staples,2085.0,0.16,938.25
OD9196,2023-02-23,Thursday,February,2023,Muneer,Salem,Tamil Nadu,Central,Food Grains,Rice,1120.0,0.35,369.6
OD4702,2023-02-24,Friday,February,2023,Alan,Pudukottai,Tamil Nadu,West,Snacks,Chocolates,946.0,0.15,104.06
OD4724,2023-02-24,Friday,February,2023,Shree,Perambalur,Tamil Nadu,West,Beverages,Health Drinks,672.0,0.24,94.08
OD2177,2023-02-27,Monday,February,2023,Haseena,Krishnagiri,Tamil Nadu,East,Beverages,Soft Drinks,1960.0,0.15,705.6
OD158,2023-03-01,Wednesday,March,2023,Komal,Salem,Tamil Nadu,West,Oil & Masala,Edible Oil & Ghee,1774.0,0.15,620.9
OD1483,2023-03-01,Wednesday,March,2023,Sharon,Kanyakumari,Tamil Nadu,Central,Bakery,Cakes,1023.0,0.35,368.28
OD1506,2023-03-01,Wednesday,March,2023,Mathew,Nagercoil,Tamil Nadu,Central,Oil & Masala,Spices,2262.0,0.2,520.26
OD1557,2023-03-01,Wednesday,March,2023,Akash,Dindigul,Tamil Nadu,Central,"Eggs, Meat & Fish",Chicken,527.0,0.23,237.15
OD3376,2023-03-01,Wednesday,March,2023,Rumaiza,Ramanadhapuram,Tamil Nadu,Central,Fruits & Veggies,Fresh Vegetables,1620.0,0.15,648.0
OD3377,2023-03-01,Wednesday,March,2023,Sabeela,Theni,Tamil Nadu,Central,Beverages,Soft Drinks,1228.0,0.13,466.64
OD3410,2023-03-01,Wednesday,March,2023,Jonas,Karur,Tamil Nadu,Central,Fruits & Veggies,Fresh Vegetables,851.0,0.18,374.44
OD8549,2023-03-01,Wednesday,March,2023,Verma,Bodi,Tamil Nadu,Central,Beverages,Health Drinks,1818.0,0.18,363.6
OD9169,2023-03-01,Wednesday,March,2023,Yadav,Cumbum,Tamil Nadu,Central,Snacks,Chocolates,1822.0,0.14,255.08
OD9875,2023-03-01,Wednesday,March,2023,Alan,Pudukottai,Tamil Nadu,East,Beverages,Soft Drinks,2238.0,0.16,447.6
OD7289,2023-03-02,Thursday,March,2023,Shree,Theni,Tamil Nadu,East,"Eggs, Meat & Fish",Fish,1919.0,0.35,594.89
OD8195,2023-03-02,Thursday,March,2023,Sheeba,Bodi,Tamil Nadu,East,Food Grains,Dals & Pulses,2400.0,0.29,792.0
OD9234,2023-03-02,Thursday,March,2023,Shree,Cumbum,Tamil Nadu,East,Oil & Masala,Edible Oil & Ghee,1733.0,0.34,675.87
OD9281,2023-03-02,Thursday,March,2023,Ridhesh,Trichy,Tamil Nadu,East,Snacks,Chocolates,1823.0,0.23,455.75
OD556,2023-03-03,Friday,March,2023,Yadav,Pudukottai,Tamil Nadu,South,"Eggs, Meat & Fish",Eggs,861.0,0.2,163.59
OD1957,2023-03-03,Friday,March,2023,Arutra,Perambalur,Tamil Nadu,West,Beverages,Soft Drinks,2413.0,0.28,530.86
OD3491,2023-03-03,Friday,March,2023,Arvind,Coimbatore,Tamil Nadu,Central,Snacks,Chocolates,1719.0,0.18,292.23
OD6063,2023-03-03,Friday,March,2023,Shah,Tirunelveli,Tamil Nadu,East,Fruits & Veggies,Fresh Vegetables,1393.0,0.13,181.09
OD7339,2023-03-03,Friday,March,2023,Hafiz,Kanyakumari,Tamil Nadu,East,"Eggs, Meat & Fish",Chicken,1570.0,0.21,518.1
OD7384,2023-03-03,Friday,March,2023,Verma,Madurai,Tamil Nadu,East,"Eggs, Meat & Fish",Eggs,2173.0,0.31,847.47
OD9326,2023-03-03,Friday,March,2023,Jonas,Kanyakumari,Tamil Nadu,East,"Eggs, Meat & Fish",Mutton,2079.0,0.11,457.38
OD9345,2023-03-03,Friday,March,2023,Anu,Pudukottai,Tamil Nadu,East,"Eggs, Meat & Fish",Mutton,2472.0,0.27,914.64
OD9862,2023-03-03,Friday,March,2023,Arvind,Tirunelveli,Tamil Nadu,East,Oil & Masala,Masalas,1289.0,0.11,180.46
OD2514,2023-03-04,Saturday,March,2023,Surya,Nagercoil,Tamil Nadu,South,Snacks,Chocolates,1304.0,0.24,417.28
OD4166,2023-03-04,Saturday,March,2023,Mathew,Perambalur,Tamil Nadu,South,Food Grains,Organic Staples,1450.0,0.29,420.5
OD2732,2023-03-05,Sunday,March,2023,Willams,Ramanadhapuram,Tamil Nadu,East,"Eggs, Meat & Fish",Mutton,1568.0,0.26,266.56
OD2736,2023-03-05,Sunday,March,2023,Willams,Theni,Tamil Nadu,East,Bakery,Biscuits,1330.0,0.25,505.4
OD2742,2023-03-05,Sunday,March,2023,Jackson,Coimbatore,Tamil Nadu,East,Beverages,Health Drinks,2321.0,0.24,603.46
OD2841,2023-03-05,Sunday,March,2023,Sharon,Pudukottai,Tamil Nadu,East,Food Grains,Organic Staples,2433.0,0.24,608.25
OD5036,2023-03-05,Sunday,March,2023,Roshan,Tirunelveli,Tamil Nadu,East,Snacks,Chocolates,948.0,0.35,75.84
OD1124,2023-03-07,Tuesday,March,2023,Ganesh,Coimbatore,Tamil Nadu,West,Snacks,Cookies,610.0,0.21,54.9
OD2309,2023-03-07,Tuesday,March,2023,Haseena,Chennai,Tamil Nadu,West,Oil & Masala,Masalas,2014.0,0.27,463.22
OD2321,2023-03-07,Tuesday,March,2023,Peer,Pudukottai,Tamil Nadu,West,Bakery,Breads & Buns,578.0,0.21,225.42
OD6176,2023-03-07,Tuesday,March,2023,Ganesh,Ramanadhapuram,Tamil Nadu,West,"Eggs, Meat & Fish",Eggs,823.0,0.34,370.35
OD6217,2023-03-07,Tuesday,March,2023,Adavan,Bodi,Tamil Nadu,West,Beverages,Health Drinks,2290.0,0.14,801.5
OD7718,2023-03-07,Tuesday,March,2023,Malik,Perambalur,Tamil Nadu,West,Fruits & Veggies,Fresh Fruits,1182.0,0.32,153.66
OD7732,2023-03-07,Tuesday,March,2023,Haseena,Virudhunagar,Tamil Nadu,West,"Eggs, Meat & Fish",Chicken,997.0,0.21,179.46
OD9057,2023-03-07,Tuesday,March,2023,Ramesh,Tenkasi,Tamil Nadu,West,Snacks,Chocolates,1654.0,0.23,512.74
OD3167,2023-03-10,Friday,March,2023,Aditi,Madurai,Tamil Nadu,Central,"Eggs, Meat & Fish",Chicken,2275.0,0.3,864.5
OD4704,2023-03-10,Friday,March,2023,Veena,Chennai,Tamil Nadu,West,Snacks,Noodles,2076.0,0.1,373.68
OD4711,2023-03-10,Friday,March,2023,Jonas,Cumbum,Tamil Nadu,West,"Eggs, Meat & Fish",Eggs,1541.0,0.16,431.48
OD1297,2023-03-11,Saturday,March,2023,Esther,Namakkal,Tamil Nadu,East,Bakery,Breads & Buns,1189.0,0.24,237.8
OD2798,2023-03-11,Saturday,March,2023,Amy,Tirunelveli,Tamil Nadu,East,Bakery,Cakes,752.0,0.25,218.08
OD2842,2023-03-11,Saturday,March,2023,Komal,Bodi,Tamil Nadu,East,"Eggs, Meat & Fish",Mutton,1008.0,0.1,423.36
OD4386,2023-03-11,Saturday,March,2023,Sundar,Pudukottai,Tamil Nadu,West,Fruits & Veggies,Organic Fruits,2251.0,0.1,112.55
OD6723,2023-03-11,Saturday,March,2023,Jonas,Dharmapuri,Tamil Nadu,South,Fruits & Veggies,Organic Fruits,2401.0,0.14,984.41
OD6730,2023-03-11,Saturday,March,2023,Sabeela,Salem,Tamil Nadu,South,Bakery,Cakes,2381.0,0.27,619.06
OD8020,2023-03-11,Saturday,March,2023,Ram,Kanyakumari,Tamil Nadu,South,"Eggs, Meat & Fish",Fish,1975.0,0.32,869.0
OD8024,2023-03-11,Saturday,March,2023,Malik,Namakkal,Tamil Nadu,South,Oil & Masala,Masalas,1400.0,0.34,336.0
OD4296,2023-03-14,Tuesday,March,2023,Ramesh,Bodi,Tamil Nadu,West,Beverages,Health Drinks,1146.0,0.27,320.88
OD4367,2023-03-14,Tuesday,March,2023,Roshan,Kanyakumari,Tamil Nadu,West,"Eggs, Meat & Fish",Chicken,1882.0,0.32,319.94
OD4647,2023-03-14,Tuesday,March,2023,Ganesh,Krishnagiri,Tamil Nadu,West,Bakery,Biscuits,2233.0,0.18,334.95
OD4718,2023-03-14,Tuesday,March,2023,Peer,Dindigul,Tamil Nadu,West,Fruits & Veggies,Fresh Vegetables,1233.0,0.11,468.54
OD5531,2023-03-14,Tuesday,March,2023,Sheeba,Ooty,Tamil Nadu,West,"Eggs, Meat & Fish",Fish,1414.0,0.1,254.52
OD7588,2023-03-14,Tuesday,March,2023,Harish,Theni,Tamil Nadu,West,Oil & Masala,Spices,886.0,0.16,177.2
OD7624,2023-03-14,Tuesday,March,2023,Sundar,Ooty,Tamil Nadu,West,Beverages,Soft Drinks,2022.0,0.2,565.04
OD8627,2023-03-14,Tuesday,March,2023,Ramesh,Theni,Tamil Nadu,South,Beverages,Health Drinks,1850.0,0.16,370.0
OD8720,2023-03-14,Tuesday,March,2023,Amy,Virudhunagar,Tamil Nadu,Central,Oil & Masala,Edible Oil & Ghee,2331.0,0.21,745.92
OD9473,2023-03-14,Tuesday,March,2023,Ravi,Dharmapuri,Tamil Nadu,South,Bakery,Biscuits,1985.0,0.22,794.0
OD9694,2023-03-14,Tuesday,March,2023,Sabeela,Salem,Tamil Nadu,Central,Oil & Masala,Edible Oil & Ghee,1572.0,0.15,675.96
OD603,2023-03-15,Wednesday,March,2023,Ravi,Perambalur,Tamil Nadu,South,Oil & Masala,Spices,2289.0,0.2,618.03
OD604,2023-03-15,Wednesday,March,2023,Ram,Tirunelveli,Tamil Nadu,South,Snacks,Noodles,2110.0,0.3,590.8
OD605,2023-03-15,Wednesday,March,2023,Peer,Viluppuram,Tamil Nadu,South,Beverages,Health Drinks,1577.0,0.33,599.26
OD606,2023-03-15,Wednesday,March,2023,James,Salem,Tamil Nadu,South,Beverages,Health Drinks,2092.0,0.17,920.48
OD607,2023-03-15,Wednesday,March,2023,Yusuf,Pudukottai,Tamil Nadu,South,Beverages,Soft Drinks,2269.0,0.21,907.6
OD9805,2023-03-16,Thursday,March,2023,Kumar,Coimbatore,Tamil Nadu,South,Snacks,Noodles,2029.0,0.33,142.03
OD2425,2023-03-17,Friday,March,2023,Sudha,Vellore,Tamil Nadu,Central,Beverages,Health Drinks,1839.0,0.25,662.04
OD2428,2023-03-17,Friday,March,2023,Yadav,Kanyakumari,Tamil Nadu,Central,Snacks,Noodles,1126.0,0.19,146.38
OD2436,2023-03-17,Friday,March,2023,Akash,Ooty,Tamil Nadu,Central,Oil & Masala,Spices,2189.0,0.18,875.6
